,Well,Absorbance,Cell_Type,Dilution,GROUP ID
520,D10,-0.103166667,Diseased,3906.25,
521,E1,0.541833333,Diseased,2e+06,
522,E2,-0.051166667,Diseased,1e+06,
523,E3,-0.029166667,Diseased,5e+05,
524,E4,-0.078166667,Diseased,250000,
525,E5,-0.071166667,Diseased,125000,
526,E6,-0.085166667,Diseased,62500,
527,E7,-0.097166667,Diseased,31250,
528,E8,-0.103166667,Diseased,15625,
529,E9,-0.086166667,Diseased,7812.5,
530,E10,-0.110166667,Diseased,3906.25,
531,F1,1.160833333,Diseased,2e+06,
532,F2,0.306833333,Diseased,1e+06,
533,F3,0.221833333,Diseased,5e+05,
534,F4,0.075833333,Diseased,250000,
535,F5,0.025833333,Diseased,125000,
536,F6,-0.042166667,Diseased,62500,
537,F7,-0.084166667,Diseased,31250,
538,F8,-0.081166667,Diseased,15625,
539,F9,-0.076166667,Diseased,7812.5,
540,F10,-0.086166667,Diseased,3906.25,
541,A1,2.323,Healthy,2e+06,
542,A2,1.732,Healthy,1e+06,
543,A3,0.794,Healthy,5e+05,
544,A4,0.418,Healthy,250000,
545,A5,0.177,Healthy,125000,
546,A6,0.08,Healthy,62500,
547,A7,0.05,Healthy,31250,
548,A8,-0.012,Healthy,15625,
549,A9,-0.004,Healthy,7812.5,
550,A10,-0.001,Healthy,3906.25,
551,B1,2.168,Healthy,2e+06,
552,B2,1.737,Healthy,1e+06,
553,B3,1.187,Healthy,5e+05,
554,B4,0.604,Healthy,250000,
555,B5,0.261,Healthy,125000,
556,B6,0.048,Healthy,62500,
557,B7,0.044,Healthy,31250,
558,B8,-0.033,Healthy,15625,
559,B9,-0.005,Healthy,7812.5,
560,B10,-0.004,Healthy,3906.25,
561,C1,2.009,Healthy,2e+06,
562,C2,2.512,Healthy,1e+06,
563,C3,2.616,Healthy,5e+05,
564,C4,1.86,Healthy,250000,
565,C5,1.439,Healthy,125000,
566,C6,0.446,Healthy,62500,
567,C7,0.247,Healthy,31250,
568,C8,0.088,Healthy,15625,
569,C9,0.253,Healthy,7812.5,
570,C10,0.008,Healthy,3906.25,
571,D1,1.158,Diseased,2e+06,
572,D2,0.614,Diseased,1e+06,
573,D3,0.601,Diseased,5e+05,
574,D4,0.192,Diseased,250000,
575,D5,0.164,Diseased,125000,
576,D6,-0.016,Diseased,62500,
577,D7,-0.032,Diseased,31250,
578,D8,-0.104,Diseased,15625,
579,D9,-0.088,Diseased,7812.5,
580,D10,-0.092,Diseased,3906.25,
581,E1,0.51,Diseased,2e+06,
582,E2,0.11,Diseased,1e+06,
583,E3,0.083,Diseased,5e+05,
584,E4,0.017,Diseased,250000,
585,E5,-0.053,Diseased,125000,
586,E6,-0.053,Diseased,62500,
587,E7,-0.075,Diseased,31250,
588,E8,-0.094,Diseased,15625,
589,E9,-0.086,Diseased,7812.5,
590,E10,-0.082,Diseased,3906.25,
591,F1,0.588,Diseased,2e+06,
592,F2,0.413,Diseased,1e+06,
593,F3,0.099,Diseased,5e+05,
594,F4,0.014,Diseased,250000,
595,F5,-0.015,Diseased,125000,
596,F6,-0.071,Diseased,62500,
597,F7,-0.071,Diseased,31250,
598,F8,-0.09,Diseased,15625,
599,F9,-0.087,Diseased,7812.5,
600,F10,-0.092,Diseased,3906.25,
601,A1,0.4415,Healthy,2e+06,
602,A2,0.4685,Healthy,1e+06,
603,A3,0.2015,Healthy,5e+05,
604,A4,0.1305,Healthy,250000,
605,A5,0.0435,Healthy,125000,
606,A6,-0.0045,Healthy,62500,
607,A7,0.0205,Healthy,31250,
608,A8,-0.0235,Healthy,15625,
609,A9,0.0125,Healthy,7812.5,
610,A10,-0.0155,Healthy,3906.25,
611,B1,0.9095,Healthy,2e+06,
612,B2,0.3675,Healthy,1e+06,
613,B3,0.2655,Healthy,5e+05,
614,B4,0.1145,Healthy,250000,
615,B5,0.0055,Healthy,125000,
616,B6,-5.00E-04,Healthy,62500,
617,B7,0.0045,Healthy,31250,
618,B8,-0.0245,Healthy,15625,
619,B9,-0.0085,Healthy,7812.5,
620,B10,0.0135,Healthy,3906.25,
621,C1,1.4735,Healthy,2e+06,
622,C2,1.2935,Healthy,1e+06,
623,C3,0.4715,Healthy,5e+05,
624,C4,0.2435,Healthy,250000,
625,C5,0.1325,Healthy,125000,
626,C6,0.0185,Healthy,62500,
627,C7,-0.0035,Healthy,31250,
628,C8,-0.0175,Healthy,15625,
629,C9,0.0055,Healthy,7812.5,
630,C10,-0.0125,Healthy,3906.25,
631,D1,0.0485,Diseased,2e+06,
632,D2,0.0155,Diseased,1e+06,
633,D3,0.1105,Diseased,5e+05,
634,D4,-0.0845,Diseased,250000,
635,D5,-0.0965,Diseased,125000,
636,D6,-0.0735,Diseased,62500,
637,D7,-0.0985,Diseased,31250,
638,D8,-0.0805,Diseased,15625,
639,D9,-0.0935,Diseased,7812.5,
640,D10,-0.0875,Diseased,3906.25,
641,E1,0.0675,Diseased,2e+06,
642,E2,0.1105,Diseased,1e+06,
